payment_id,created_at,amount,card_fingerprint,email_hash,dispute_reason_code,dispute_status,chargeback_fraud,risk_score
pay_00041,2025-11-01T10:52:00,117.85,fp_017,eh_001,,,0,0.1508
pay_00007,2025-11-01T16:12:00,181.49,fp_004,eh_021,,,0,0.2288
pay_00008,2025-11-01T21:10:00,592.05,fp_015,eh_001,,,0,0.2657
pay_00014,2025-11-03T19:42:00,1782.56,fp_007,eh_016,,,0,0.0429
pay_00030,2025-11-04T05:34:00,238.26,fp_015,eh_003,,,0,0.0516
pay_00005,2025-11-04T07:47:00,822.94,fp_017,eh_006,,,0,0.371
pay_00023,2025-11-04T20:12:00,799.95,fp_006,eh_016,,,0,0.1532
pay_00027,2025-11-05T07:58:00,788.59,fp_005,eh_021,,,0,0.1811
pay_00000,2025-11-06T08:26:00,1812.11,fp_003,eh_020,4837,lost,1,0.1251
pay_00048,2025-11-06T19:32:00,1431.24,fp_006,eh_023,,,0,0.1797
pay_00001,2025-11-06T22:00:00,2464.87,fp_017,eh_015,,,0,0.289
pay_00025,2025-11-07T03:06:00,362.47,fp_017,eh_014,,,0,0.1564
pay_00037,2025-11-07T09:19:00,918.73,fp_008,eh_004,,,0,0.3027
pay_00015,2025-11-07T12:32:00,397.32,fp_006,eh_016,,,0,0.4178
pay_00012,2025-11-07T18:12:00,358.72,fp_015,eh_008,,,0,0.4458
pay_00058,2025-11-08T03:49:00,469.01,fp_013,eh_014,,,0,0.2471
pay_00051,2025-11-08T03:50:00,758.23,fp_017,eh_004,,,0,0.0642
pay_00024,2025-11-08T17:47:00,609.54,fp_007,eh_005,,,0,0.076
pay_00034,2025-11-09T13:41:00,93.6,fp_016,eh_004,,,0,0.2281
pay_00002,2025-11-10T21:43:00,524.52,fp_012,eh_012,,,0,0.081
pay_00036,2025-11-10T22:25:00,408.12,fp_009,eh_007,,,0,0.0883
pay_00044,2025-11-12T02:33:00,711.88,fp_017,eh_006,,,0,0.1884
pay_00021,2025-11-12T10:23:00,851.28,fp_007,eh_007,,,0,0.2327
pay_00028,2025-11-12T12:48:00,536.98,fp_015,eh_009,10.4,won,0,0.3668
pay_00020,2025-11-12T20:13:00,337.24,fp_009,eh_014,,,0,0.2954
pay_00022,2025-11-13T02:18:00,1672.41,fp_017,eh_005,,,0,0.1617
pay_00038,2025-11-14T14:32:00,2382.06,fp_016,eh_023,,,0,0.1716
pay_00046,2025-11-15T08:54:00,1002.08,fp_013,eh_006,,,0,0.2809
pay_00043,2025-11-15T15:03:00,727.98,fp_011,eh_002,,,0,0.097
pay_00049,2025-11-16T04:07:00,910.02,fp_005,eh_007,,,0,0.1747
pay_00026,2025-11-17T19:07:00,606.4,fp_015,eh_013,,,0,0.3648
pay_00059,2025-11-18T22:26:00,1545.98,fp_015,eh_007,,,0,0.1129
pay_00033,2025-11-19T01:56:00,1128.9,fp_001,eh_004,10.4,won,0,0.2566
pay_00029,2025-11-19T09:24:00,1430.12,fp_016,eh_003,,,0,0.2721
pay_00057,2025-11-19T11:03:00,3096.0,fp_003,eh_015,,,0,0.2039
pay_00009,2025-11-19T15:39:00,376.28,fp_013,eh_001,,,0,0.2124
pay_00040,2025-11-19T19:51:00,214.71,fp_003,eh_016,,,0,0.5831
pay_00053,2025-11-20T07:26:00,841.82,fp_012,eh_010,4837,lost,1,0.1574
pay_00003,2025-11-21T11:53:00,289.27,fp_017,eh_009,,,0,0.0664
pay_00042,2025-11-22T17:32:00,302.17,fp_016,eh_005,,,0,0.1366
pay_00017,2025-11-23T05:03:00,808.37,fp_016,eh_010,10.4,lost,1,0.2372
pay_00050,2025-11-25T22:48:00,2891.02,fp_011,eh_018,,,0,0.3473
pay_00055,2025-11-26T03:58:00,468.06,fp_015,eh_008,,,0,0.1937
pay_00016,2025-11-26T12:28:00,471.77,fp_002,eh_021,,,0,0.1996
pay_00010,2025-11-27T05:13:00,1332.51,fp_009,eh_007,,,0,0.1169
pay_00032,2025-11-27T14:49:00,159.31,fp_001,eh_016,,,0,0.116
pay_00047,2025-11-28T07:44:00,971.63,fp_008,eh_001,,,0,0.523
pay_00004,2025-11-28T10:16:00,851.07,fp_005,eh_001,,,0,0.1069
pay_00054,2025-11-30T00:46:00,373.72,fp_011,eh_012,,,0,0.2581
pay_00013,2025-11-30T16:08:00,501.01,fp_010,eh_016,,,0,0.2303
pay_00006,2025-11-30T20:04:00,967.8,fp_006,eh_022,,,0,0.3043
pay_00031,2025-12-01T15:35:00,474.57,fp_013,eh_002,,,0,0.2221
pay_00039,2025-12-02T23:42:00,771.56,fp_015,eh_006,,,0,0.4984
pay_00019,2025-12-03T06:08:00,553.74,fp_011,eh_020,,,0,0.145
pay_00045,2025-12-03T20:40:00,715.44,fp_002,eh_011,,,0,0.1221
pay_00018,2025-12-04T01:36:00,1503.11,fp_002,eh_018,,,0,0.1256
pay_00011,2025-12-05T02:48:00,1942.4,fp_016,eh_011,,,0,0.1351
pay_00035,2025-12-05T19:33:00,195.43,fp_002,eh_018,,,0,0.1246
pay_00052,2025-12-10T16:21:00,370.17,fp_010,eh_009,,,0,0.0793
pay_00056,2025-12-10T21:32:00,192.96,fp_016,eh_003,,,0,0.1363
