feature,gain
V258,85367.53522586823
C1,37747.73165369034
DeviceInfo,35482.27062654495
C14,30919.80540084839
card2,23004.557379245758
C13,22705.497868537903
V294,20408.074012756348
card1,20237.981085538864
TransactionAmt,17394.94119477272
addr1,16280.948555231094
R_emaildomain,16189.168741226196
D2,14090.49894952774
P_emaildomain,13056.457461118698
id_31,11785.211475610733
D15,11348.150008440018
C11,9516.002516746521
card5,9417.722216129303
D10,8166.183937549591
dist1,7314.933715105057
id_30,7154.4278700351715
D1,7016.600912094116
card6,6647.164754152298
D4,6533.853794336319
id_33,6429.106887340546
C7,6285.009292602539
V70,6009.201630353928
V308,5993.409534215927
C2,5803.552392244339
C5,5770.967345237732
C4,5686.9527542591095
D8,5629.7266392707825
hour_sin,5527.375028848648
V149,5505.29719877243
C8,5447.834268093109
C6,5062.562973022461
D3,5056.786874294281
V283,4866.929944992065
V187,4663.37560749054
hour_cos,4594.582180023193
V62,4549.385068893433
card3,4184.8761529922485
C9,4074.760184764862
V201,4034.9450340270996
id_20,4025.345113515854
V87,3938.0187182426453
id_02,3865.4965410232544
V313,3725.2460417747498
hour,3719.1899745464325
M4,3616.955872774124
V310,3612.911581516266
