day,n,positives,ap
120,3941,181,0.6323092584940557
121,3017,121,0.7212796243793419
122,2507,64,0.6891692087108202
123,3390,128,0.7491537133242574
124,4202,89,0.61024129248748
125,3467,148,0.7272101683777855
126,3051,102,0.7537077662716131
127,3335,84,0.5889226775049539
128,2507,69,0.4078257693606145
129,2348,130,0.7280871447301465
130,2807,95,0.5483883809206311
131,2822,105,0.4474278509703047
132,2752,108,0.48606771602075716
133,2687,136,0.7183306043212048
134,2937,103,0.5629529580483589
135,2429,90,0.5977904608185639
136,2048,73,0.49794429443371785
137,2914,69,0.4782519292575611
138,2846,112,0.6306878533476721
139,2769,61,0.2785574102118755
140,2629,103,0.5743062213946191
141,3000,131,0.48690733558629723
142,2391,103,0.5685425822042108
143,2064,71,0.5444360129520974
144,2718,90,0.459546509325523
145,2668,67,0.41385093156754127
146,2990,98,0.4646719855918758
147,2718,79,0.34780734476444053
