model,budget,alerts,fs_catch,redundant,false_pos,fs_precision(friction_eff),fs_recall,lw_fs_recall,prop_recall,redundancy_rate,txn_precision
Blocklist,1711,1711,0,928,783,0.0,0.0,0.0,0.5243,1.0,0.5424
A,500,500,218,237,45,0.436,0.2096,0.1495,0.1339,0.5209,0.91
A,1000,1000,402,474,124,0.402,0.3865,0.2805,0.2678,0.5411,0.876
A,1500,1500,506,659,335,0.3373,0.4865,0.3459,0.3723,0.5657,0.7767
A,2000,2000,547,794,659,0.2735,0.526,0.3706,0.4486,0.5921,0.6705
A,2810,2810,591,939,1280,0.2103,0.5683,0.4152,0.5305,0.6137,0.5445
A,4000,4000,636,1081,2283,0.159,0.6115,0.4889,0.6107,0.6296,0.4293
A,6000,6000,693,1228,4079,0.1155,0.6663,0.5696,0.6938,0.6393,0.3202
A,8000,8000,738,1333,5929,0.0922,0.7096,0.6305,0.7531,0.6437,0.2589
A+beh,500,500,214,237,49,0.428,0.2058,0.1507,0.1339,0.5255,0.902
A+beh,1000,1000,410,461,129,0.41,0.3942,0.2772,0.2605,0.5293,0.871
A+beh,1500,1500,503,625,372,0.3353,0.4837,0.3418,0.3531,0.5541,0.752
A+beh,2000,2000,547,744,709,0.2735,0.526,0.3754,0.4203,0.5763,0.6455
A+beh,2810,2810,600,903,1307,0.2135,0.5769,0.4449,0.5102,0.6008,0.5349
A+beh,4000,4000,643,1037,2320,0.1608,0.6183,0.5046,0.5859,0.6173,0.42
A+beh,6000,6000,699,1194,4107,0.1165,0.6721,0.5959,0.6746,0.6307,0.3155
A+beh,8000,8000,737,1304,5959,0.0921,0.7087,0.6529,0.7367,0.6389,0.2551
A+fam,500,500,228,228,44,0.456,0.2192,0.1445,0.1288,0.5,0.912
A+fam,1000,1000,403,476,121,0.403,0.3875,0.27,0.2689,0.5415,0.879
A+fam,1500,1500,499,660,341,0.3327,0.4798,0.3332,0.3729,0.5695,0.7727
A+fam,2000,2000,541,788,671,0.2705,0.5202,0.3693,0.4452,0.5929,0.6645
A+fam,2810,2810,588,945,1277,0.2093,0.5654,0.4188,0.5339,0.6164,0.5456
A+fam,4000,4000,651,1080,2269,0.1628,0.626,0.5093,0.6102,0.6239,0.4328
A+fam,6000,6000,712,1233,4055,0.1187,0.6846,0.6026,0.6966,0.6339,0.3242
A+fam,8000,8000,751,1335,5914,0.0939,0.7221,0.6641,0.7542,0.64,0.2607
B,500,500,82,411,7,0.164,0.0788,0.0581,0.2322,0.8337,0.986
B,1000,1000,181,770,49,0.181,0.174,0.1211,0.435,0.8097,0.951
B,1500,1500,345,1045,110,0.23,0.3317,0.2326,0.5904,0.7518,0.9267
B,2000,2000,486,1205,309,0.243,0.4673,0.3221,0.6808,0.7126,0.8455
B,2810,2810,574,1346,890,0.2043,0.5519,0.4046,0.7605,0.701,0.6833
B,4000,4000,627,1493,1880,0.1568,0.6029,0.4674,0.8435,0.7042,0.53
B,6000,6000,691,1586,3723,0.1152,0.6644,0.5705,0.896,0.6965,0.3795
B,8000,8000,755,1646,5599,0.0944,0.726,0.6677,0.9299,0.6855,0.3001
