TransactionID,day_idx,TransactionAmt,ProductCD,P_emaildomain,DeviceInfo,card1,uid,uid_total_frauds,card1_total_frauds,C1,C13,D2,score_B,score_A
3398117,120,8.58,C,hotmail.com,,4461,4461_nan_120,0,158,23.0,2.0,,0.9837153238238128,0.9881809029187878
3430672,130,400.0,H,gmail.com,SAMSUNG SM-J327T1 Build/NRD90M,7815,7815_123_130,0,38,7.0,1.0,,0.9834871731085124,0.9968755451004692
3460709,141,176.448,C,gmail.com,Moto G (4) Build/NPJ25.93-14.7,3611,3611_nan_141,0,22,39.0,1.0,,0.9831552000909155,0.9529176987380567
3460732,141,176.448,C,gmail.com,Moto G (4) Build/NPJ25.93-14.7,17451,17451_nan_135,2,2,39.0,1.0,,0.982724723966882,0.9645346805907853
3398099,120,12.446,C,hotmail.com,,2256,2256_nan_119,0,211,22.0,2.0,,0.9819617946152087,0.9866009278351096
3398072,120,12.446,C,hotmail.com,,3154,3154_nan_92,3,231,22.0,2.0,,0.9809064959051094,0.9886145719189046
3398085,120,12.446,C,hotmail.com,,3154,3154_nan_92,3,231,22.0,2.0,,0.9791572649455287,0.9895754233854291
3456622,140,144.158,C,gmail.com,Windows,17697,17697_nan_139,0,0,5.0,0.0,,0.9775499744521076,0.9641254624523088
3398112,120,8.58,C,hotmail.com,,4504,4504_nan_119,0,201,22.0,2.0,,0.9769720330661144,0.9788472941391885
3398080,120,12.446,C,hotmail.com,,13832,13832_nan_119,0,160,22.0,2.0,,0.9769016581545075,0.989723835602445
3398074,120,12.446,C,hotmail.com,,4504,4504_nan_119,0,201,22.0,2.0,,0.9747989668476296,0.989605374336456
3408537,123,9.003,C,hotmail.com,,4504,4504_nan_119,0,201,24.0,2.0,,0.9747973618597228,0.9866398087684032
3454325,139,226.0,W,gmail.com,,12544,12544_476_-471,3,115,0.0,0.0,,0.9735989214384054,0.22157856100644668
3432598,131,8.485,C,hotmail.com,,6141,6141_nan_131,0,3,36.0,2.0,,0.9733687514105058,0.9836856022044702
3454052,139,8.669,C,hotmail.com,,17782,17782_nan_139,0,11,38.0,2.0,,0.9725372657357396,0.986596700439857
