m,a,e,c_h,two-lane+A2 (ours),single-lane B (headline pick),single-lane A,blocklist-only,approve-all,delta_headline_minus_ours_per_1k,delta_pct_of_volume
0.05,0.05,0.6,15.0,92350.0,94721.0,124906.0,333926.0,514906.0,29.7,0.022
0.05,0.05,0.6,30.0,97039.0,98694.0,130733.0,362156.0,557056.0,20.7,0.015
0.05,0.05,0.6,60.0,103924.0,106781.0,141210.0,418616.0,641356.0,35.7,0.026
0.05,0.05,0.775,15.0,71097.0,69879.0,91609.0,333926.0,514906.0,-15.2,-0.011
0.05,0.05,0.775,30.0,73342.0,72509.0,96098.0,362156.0,557056.0,-10.4,-0.008
0.05,0.05,0.775,60.0,78155.0,78231.0,103557.0,418616.0,641356.0,1.0,0.001
0.05,0.05,0.95,15.0,36417.0,32257.0,45392.0,333926.0,514906.0,-52.0,-0.039
0.05,0.05,0.95,30.0,37555.0,33348.0,47585.0,362156.0,557056.0,-52.6,-0.039
0.05,0.05,0.95,60.0,39625.0,35490.0,50676.0,418616.0,641356.0,-51.7,-0.038
0.05,0.125,0.6,15.0,105438.0,111065.0,139501.0,333926.0,514906.0,70.4,0.052
0.05,0.125,0.6,30.0,110280.0,114259.0,147853.0,362156.0,557056.0,49.8,0.037
0.05,0.125,0.6,60.0,118675.0,124239.0,158225.0,418616.0,641356.0,69.6,0.052
0.05,0.125,0.775,15.0,85543.0,87805.0,113523.0,333926.0,514906.0,28.3,0.021
0.05,0.125,0.775,30.0,88540.0,91193.0,117848.0,362156.0,557056.0,33.2,0.025
0.05,0.125,0.775,60.0,94730.0,97600.0,126674.0,418616.0,641356.0,35.9,0.027
0.05,0.125,0.95,15.0,54923.0,52665.0,71913.0,333926.0,514906.0,-28.2,-0.021
0.05,0.125,0.95,30.0,56700.0,54402.0,74543.0,362156.0,557056.0,-28.7,-0.021
0.05,0.125,0.95,60.0,59563.0,57643.0,79783.0,418616.0,641356.0,-24.0,-0.018
0.05,0.2,0.6,15.0,114237.0,118551.0,148627.0,333926.0,514906.0,54.0,0.04
0.05,0.2,0.6,30.0,119626.0,123678.0,154043.0,362156.0,557056.0,50.7,0.038
0.05,0.2,0.6,60.0,127769.0,133501.0,165338.0,418616.0,641356.0,71.7,0.053
