m,a,e,c_h,cost_policy,cost_fixed_threshold,cost_amount_blind,cost_headline_B_system,cost_trivial,trivial,savings_vs_trivial,gap_vs_fixed,gap_vs_amount_blind,delta_headline_minus_ours_per_1k_txn,mix_approve,mix_stepup,mix_block
0.05,0.05,0.6,15.0,86686.0,123946.0,87658.0,86999.0,514906.0,approve-all,0.8316,0.0724,0.0019,3.9,0.504,0.446,0.049
0.05,0.05,0.6,30.0,90479.0,128506.0,91135.0,90588.0,515790.0,block-all,0.8246,0.0737,0.0013,1.4,0.459,0.484,0.056
0.05,0.05,0.6,60.0,96448.0,137626.0,98671.0,97802.0,515790.0,block-all,0.813,0.0798,0.0043,16.9,0.421,0.51,0.069
0.05,0.05,0.775,15.0,66314.0,123946.0,65795.0,63963.0,514906.0,approve-all,0.8712,0.1119,-0.001,-29.4,0.439,0.524,0.037
0.05,0.05,0.775,30.0,68706.0,128506.0,68990.0,66379.0,515790.0,block-all,0.8668,0.1159,0.0005,-29.1,0.41,0.549,0.041
0.05,0.05,0.775,60.0,73007.0,137626.0,74081.0,71439.0,515790.0,block-all,0.8585,0.1253,0.0021,-19.6,0.39,0.562,0.048
0.05,0.05,0.95,15.0,34419.0,123946.0,34540.0,29155.0,514906.0,approve-all,0.9332,0.1739,0.0002,-65.8,0.394,0.593,0.014
0.05,0.05,0.95,30.0,35385.0,128506.0,35723.0,30090.0,515790.0,block-all,0.9314,0.1805,0.0007,-66.2,0.39,0.595,0.015
0.05,0.05,0.95,60.0,37207.0,137626.0,37552.0,31982.0,515790.0,block-all,0.9279,0.1947,0.0007,-65.3,0.372,0.61,0.018
0.05,0.125,0.6,15.0,99721.0,123946.0,100226.0,103141.0,514906.0,approve-all,0.8063,0.047,0.001,42.8,0.694,0.253,0.052
0.05,0.125,0.6,30.0,103870.0,128506.0,106036.0,106458.0,515790.0,block-all,0.7986,0.0478,0.0042,32.4,0.668,0.272,0.06
0.05,0.125,0.6,60.0,111428.0,137626.0,117275.0,114434.0,515790.0,block-all,0.784,0.0508,0.0113,37.6,0.624,0.303,0.073
0.05,0.125,0.775,15.0,80746.0,123946.0,82107.0,82283.0,514906.0,approve-all,0.8432,0.0839,0.0026,19.2,0.658,0.304,0.039
0.05,0.125,0.775,30.0,83707.0,128506.0,87050.0,85301.0,515790.0,block-all,0.8377,0.0869,0.0065,19.9,0.629,0.329,0.043
0.05,0.125,0.775,60.0,89481.0,137626.0,92678.0,91035.0,515790.0,block-all,0.8265,0.0933,0.0062,19.4,0.57,0.379,0.051
0.05,0.125,0.95,15.0,53080.0,123946.0,53882.0,49696.0,514906.0,approve-all,0.8969,0.1376,0.0016,-42.3,0.626,0.359,0.014
0.05,0.125,0.95,30.0,54661.0,128506.0,55226.0,51346.0,515790.0,block-all,0.894,0.1432,0.0011,-41.5,0.587,0.398,0.016
0.05,0.125,0.95,60.0,57278.0,137626.0,60965.0,54239.0,515790.0,block-all,0.889,0.1558,0.0071,-38.0,0.523,0.458,0.018
0.05,0.2,0.6,15.0,107551.0,123946.0,107969.0,111032.0,514906.0,approve-all,0.7911,0.0318,0.0008,43.5,0.805,0.138,0.057
0.05,0.2,0.6,30.0,112604.0,128506.0,111140.0,115754.0,515790.0,block-all,0.7817,0.0308,-0.0028,39.4,0.776,0.161,0.063
0.05,0.2,0.6,60.0,120239.0,137626.0,128100.0,124042.0,515790.0,block-all,0.7669,0.0337,0.0152,47.6,0.725,0.198,0.077
0.05,0.2,0.775,15.0,89536.0,123946.0,90288.0,92708.0,514906.0,approve-all,0.8261,0.0668,0.0015,39.7,0.753,0.207,0.041
0.05,0.2,0.775,30.0,93297.0,128506.0,97713.0,96712.0,515790.0,block-all,0.8191,0.0683,0.0086,42.7,0.716,0.239,0.045
0.05,0.2,0.775,60.0,97656.0,137626.0,108118.0,101783.0,515790.0,block-all,0.8107,0.0775,0.0203,51.6,0.67,0.276,0.053
0.05,0.2,0.95,15.0,63727.0,123946.0,66416.0,65303.0,514906.0,approve-all,0.8762,0.117,0.0052,19.7,0.698,0.288,0.015
0.05,0.2,0.95,30.0,66361.0,128506.0,71355.0,66087.0,515790.0,block-all,0.8713,0.1205,0.0097,-3.4,0.671,0.313,0.016
0.05,0.2,0.95,60.0,71006.0,137626.0,77112.0,70550.0,515790.0,block-all,0.8623,0.1292,0.0118,-5.7,0.624,0.356,0.019
0.15,0.05,0.6,15.0,133024.0,186003.0,135988.0,128479.0,514906.0,approve-all,0.7417,0.1029,0.0058,-56.8,0.75,0.229,0.02
0.15,0.05,0.6,30.0,139995.0,195378.0,142760.0,135099.0,557056.0,approve-all,0.7487,0.0994,0.005,-61.2,0.712,0.264,0.025
0.15,0.05,0.6,60.0,150300.0,214128.0,156983.0,145304.0,641356.0,approve-all,0.7657,0.0995,0.0104,-62.5,0.663,0.306,0.031
0.15,0.05,0.775,15.0,101447.0,186003.0,101511.0,94965.0,514906.0,approve-all,0.803,0.1642,0.0001,-81.1,0.687,0.297,0.016
0.15,0.05,0.775,30.0,105888.0,195378.0,107909.0,99118.0,557056.0,approve-all,0.8099,0.1606,0.0036,-84.7,0.66,0.322,0.018
0.15,0.05,0.775,60.0,114019.0,214128.0,117726.0,107546.0,641356.0,approve-all,0.8222,0.1561,0.0058,-81.0,0.61,0.368,0.022
