system,total_interventions,fs_recall,prop_recall,txn_precision,friction_eff,fraud_amt_intercepted
single:A,2000,0.526,0.4486,0.6705,0.2735,203672.0
single:B,2000,0.4673,0.6808,0.8455,0.243,260095.0
two-lane:A2,2000,0.15,0.5847,0.5955,0.078,194546.0
single:A,2810,0.5683,0.5305,0.5445,0.2103,245186.0
single:B,2810,0.5519,0.7605,0.6833,0.2043,306769.0
two-lane:A2,2810,0.474,0.7254,0.6324,0.1754,267923.0
single:A,4000,0.6115,0.6107,0.4293,0.159,283671.0
single:B,4000,0.6029,0.8435,0.53,0.1568,341361.0
two-lane:A2,4000,0.574,0.813,0.509,0.1492,321231.0
single:A,6000,0.6663,0.6938,0.3202,0.1155,322579.0
single:B,6000,0.6644,0.896,0.3795,0.1152,376693.0
two-lane:A2,6000,0.6615,0.8977,0.3795,0.1147,373455.0
