per_day,scorer,routing,fs_recall,friction_eff
5,shipped,on,0.071,0.5312
5,shipped,off,0.0609,0.4562
5,headline,on,0.071,0.5312
5,headline,off,0.0342,0.2562
10,shipped,on,0.1302,0.4875
10,shipped,off,0.1085,0.4062
10,headline,on,0.1336,0.5
10,headline,off,0.0551,0.2062
18,shipped,on,0.2237,0.4653
18,shipped,off,0.1937,0.4028
18,headline,on,0.2262,0.4705
18,headline,off,0.0977,0.2031
25,shipped,on,0.3013,0.4512
25,shipped,off,0.2679,0.4012
25,headline,on,0.3114,0.4662
25,headline,off,0.1319,0.1975
36,shipped,on,0.4032,0.4193
36,shipped,off,0.3731,0.388
36,headline,on,0.4182,0.4349
36,headline,off,0.1912,0.1988
50,shipped,on,0.4699,0.3519
50,shipped,off,0.4574,0.3425
50,headline,on,0.4917,0.3681
50,headline,off,0.3214,0.2406
71,shipped,on,0.5309,0.2799
71,shipped,off,0.5175,0.2729
71,headline,on,0.5401,0.2848
71,headline,off,0.4616,0.2434
100,shipped,on,0.5826,0.2181
100,shipped,off,0.5751,0.2153
100,headline,on,0.5968,0.2234
100,headline,off,0.5367,0.2009
140,shipped,on,0.6302,0.1685
140,shipped,off,0.6227,0.1665
140,headline,on,0.6411,0.1714
140,headline,off,0.6052,0.1618
200,shipped,on,0.6853,0.1283
200,shipped,off,0.6786,0.127
200,headline,on,0.6928,0.1297
200,headline,off,0.6661,0.1247
280,shipped,on,0.7446,0.0996
280,shipped,off,0.7404,0.099
280,headline,on,0.7429,0.0993
280,headline,off,0.7154,0.0956
400,shipped,on,0.8038,0.0752
400,shipped,off,0.8005,0.0749
400,headline,on,0.7938,0.0743
400,headline,off,0.7705,0.0721
500,shipped,on,0.8339,0.0624
500,shipped,off,0.8314,0.0622
500,headline,on,0.8314,0.0622
500,headline,off,0.8164,0.0611
