budget,system,alerts,fs_recall,lw_fs_recall,precision,blocklist_coverable_share,false_positives
500,random,500,0.0092,0.004,0.04,0.45,480
500,rank-by-amount,500,0.0058,0.0842,0.022,0.3636,489
500,single-lane A,500,0.1661,0.123,0.936,0.5748,32
500,single-lane B,500,0.081,0.0728,0.994,0.8048,3
500,single-lane A2,500,0.1636,0.1181,0.942,0.5839,29
500,two-lane+A2 (shipped),2275,0.1945,0.1403,0.5899,0.8264,933
1000,random,1000,0.0125,0.012,0.042,0.6429,958
1000,rank-by-amount,1000,0.0117,0.1341,0.03,0.5333,970
1000,single-lane A,1000,0.3314,0.2415,0.868,0.5426,132
1000,single-lane B,1000,0.1628,0.1287,0.967,0.7983,33
1000,single-lane A2,1000,0.3306,0.2251,0.85,0.5341,150
1000,two-lane+A2 (shipped),2775,0.3673,0.2466,0.6112,0.7406,1079
1500,random,1500,0.0159,0.013,0.0373,0.6607,1444
1500,rank-by-amount,1500,0.025,0.2178,0.052,0.6154,1422
1500,single-lane A,1500,0.4374,0.3057,0.762,0.5416,357
1500,single-lane B,1500,0.298,0.2163,0.9253,0.7428,112
1500,single-lane A2,1500,0.4424,0.3081,0.7493,0.5285,376
1500,two-lane+A2 (shipped),3275,0.4624,0.3184,0.5872,0.7119,1352
2000,random,2000,0.0242,0.0195,0.0365,0.6027,1927
2000,rank-by-amount,2000,0.0367,0.2812,0.0625,0.648,1875
2000,single-lane A,2000,0.495,0.3603,0.661,0.5514,678
2000,single-lane B,2000,0.4157,0.2854,0.848,0.7064,304
2000,single-lane A2,2000,0.4933,0.3487,0.639,0.5376,722
2000,two-lane+A2 (shipped),3775,0.5033,0.3573,0.5457,0.7073,1715
3200,random,3200,0.0384,0.0342,0.0338,0.5741,3092
3200,rank-by-amount,3200,0.0534,0.3447,0.0553,0.6384,3023
3200,single-lane A,3200,0.5559,0.4382,0.5059,0.5886,1581
3200,single-lane B,3200,0.5367,0.3958,0.6462,0.6891,1132
3200,single-lane A2,3200,0.5751,0.4636,0.4759,0.5476,1677
3200,two-lane+A2 (shipped),4975,0.5826,0.4733,0.4571,0.6931,2701
4000,random,4000,0.0442,0.0359,0.0328,0.5954,3869
4000,rank-by-amount,4000,0.0676,0.3873,0.0553,0.6335,3779
4000,single-lane A,4000,0.6027,0.5203,0.443,0.5926,2228
4000,single-lane B,4000,0.5868,0.4594,0.5547,0.6832,1781
4000,single-lane A2,4000,0.6018,0.5056,0.4075,0.5577,2370
4000,two-lane+A2 (shipped),5775,0.6093,0.5232,0.41,0.6917,3407
6000,random,6000,0.0693,0.0639,0.0343,0.5971,5794
6000,rank-by-amount,6000,0.1085,0.4918,0.053,0.5912,5682
6000,single-lane A,6000,0.6603,0.6133,0.3358,0.6074,3985
6000,single-lane B,6000,0.6511,0.5749,0.4065,0.6802,3561
6000,single-lane A2,6000,0.6703,0.6117,0.3052,0.5614,4169
6000,two-lane+A2 (shipped),7775,0.6761,0.621,0.3273,0.6817,5230
1775,blocklist-only (natural N),1775,0.0,0.0,0.498,1.0,891
