m,a,e,c_h,tau_val,edge_point,ci_lo,ci_hi,ci_excludes_zero
0.05,0.05,0.6,15.0,0.03716814,0.09256,0.07362,0.11202,True
0.05,0.05,0.6,30.0,0.03716814,0.08722,0.06968,0.1058,True
0.05,0.05,0.6,60.0,0.03716814,0.07953,0.06401,0.09537,True
0.05,0.05,0.775,15.0,0.03716814,0.14954,0.12624,0.17523,True
0.05,0.05,0.775,30.0,0.03716814,0.14196,0.12048,0.16528,True
0.05,0.05,0.775,60.0,0.03716814,0.12991,0.11087,0.15103,True
0.05,0.05,0.95,15.0,0.03716814,0.22932,0.20352,0.25677,True
0.05,0.05,0.95,30.0,0.03716814,0.2197,0.1948,0.24575,True
0.05,0.05,0.95,60.0,0.03716814,0.20293,0.17974,0.22597,True
0.05,0.125,0.6,15.0,0.03716814,0.05796,0.04096,0.07579,True
0.05,0.125,0.6,30.0,0.03716814,0.05521,0.0385,0.07346,True
0.05,0.125,0.6,60.0,0.03716814,0.05322,0.03913,0.06955,True
0.05,0.125,0.775,15.0,0.03716814,0.1061,0.08659,0.12874,True
0.05,0.125,0.775,30.0,0.03716814,0.10052,0.08215,0.1213,True
0.05,0.125,0.775,60.0,0.03716814,0.09414,0.07832,0.11274,True
0.05,0.125,0.95,15.0,0.03716814,0.17918,0.15743,0.20223,True
0.05,0.125,0.95,30.0,0.03716814,0.17052,0.15058,0.19239,True
0.05,0.125,0.95,60.0,0.03716814,0.15767,0.13996,0.17785,True
0.05,0.2,0.6,15.0,0.03716814,0.03587,0.02425,0.04741,True
0.05,0.2,0.6,30.0,0.03716814,0.03427,0.02364,0.04504,True
0.05,0.2,0.6,60.0,0.03716814,0.03352,0.02374,0.04346,True
0.05,0.2,0.775,15.0,0.03716814,0.07533,0.061,0.09126,True
0.05,0.2,0.775,30.0,0.03716814,0.07298,0.05945,0.08813,True
0.05,0.2,0.775,60.0,0.03716814,0.06752,0.05507,0.08075,True
0.05,0.2,0.95,15.0,0.03716814,0.14429,0.12601,0.16579,True
0.05,0.2,0.95,30.0,0.03716814,0.13783,0.12061,0.15726,True
0.05,0.2,0.95,60.0,0.03716814,0.13396,0.11688,0.15295,True
