e,m,a,c_h,tau_val,edge_point,ci_lo,ci_hi,ci_excludes_zero
0.2,0.05,0.05,15.0,0.03716814,0.01568,0.00053,0.03099,True
0.2,0.05,0.05,30.0,0.03716814,0.01251,-0.00203,0.02704,False
0.2,0.05,0.05,60.0,0.03716814,0.01414,0.00199,0.02637,True
0.2,0.05,0.125,15.0,0.03716814,0.00949,-0.00342,0.02215,False
0.2,0.05,0.125,30.0,0.03716814,0.00779,-0.004,0.0198,False
0.2,0.05,0.125,60.0,0.03716814,0.00717,-0.00311,0.0175,False
0.2,0.05,0.2,15.0,0.03716814,0.00634,-0.00916,0.02153,False
0.2,0.05,0.2,30.0,0.03716814,0.00637,-0.00841,0.02015,False
0.2,0.05,0.2,60.0,0.03716814,0.00385,-0.00923,0.01577,False
0.2,0.15,0.05,15.0,0.1353211,0.01576,0.00535,0.02556,True
0.2,0.15,0.05,30.0,0.1353211,0.01702,0.00684,0.02622,True
0.2,0.15,0.05,60.0,0.1353211,0.02176,0.01269,0.02997,True
0.2,0.15,0.125,15.0,0.1353211,0.00141,-0.00942,0.01048,False
0.2,0.15,0.125,30.0,0.1353211,0.00554,-0.00291,0.01359,False
0.2,0.15,0.125,60.0,0.1353211,0.00984,0.00284,0.01587,True
0.2,0.15,0.2,15.0,0.1353211,0.00131,-0.00016,0.00298,False
0.2,0.15,0.2,30.0,0.1353211,0.00282,0.00021,0.00549,True
0.2,0.15,0.2,60.0,0.1353211,0.00746,0.00381,0.01105,True
0.2,0.25,0.05,15.0,0.18693009,0.02538,0.0019,0.04638,True
0.2,0.25,0.05,30.0,0.18693009,0.02706,0.00574,0.04748,True
0.2,0.25,0.05,60.0,0.1353211,0.03927,0.01788,0.06001,True
0.2,0.25,0.125,15.0,0.18693009,0.01459,-0.00735,0.0336,False
0.2,0.25,0.125,30.0,0.18693009,0.01112,-0.00692,0.02805,False
0.2,0.25,0.125,60.0,0.1353211,0.02154,0.00238,0.04022,True
0.2,0.25,0.2,15.0,0.18693009,0.00443,-0.01538,0.02377,False
0.2,0.25,0.2,30.0,0.18693009,-0.00081,-0.01836,0.01732,False
0.2,0.25,0.2,60.0,0.1353211,0.02236,0.00197,0.04084,True
0.3,0.05,0.05,15.0,0.03716814,0.02841,0.01189,0.04728,True
0.3,0.05,0.05,30.0,0.03716814,0.02591,0.01032,0.04344,True
0.3,0.05,0.05,60.0,0.03716814,0.02064,0.00655,0.03572,True
0.3,0.05,0.125,15.0,0.03716814,0.00579,-0.01102,0.023,False
0.3,0.05,0.125,30.0,0.03716814,0.00862,-0.00653,0.02341,False
0.3,0.05,0.125,60.0,0.03716814,0.01023,0.00011,0.02193,True
0.3,0.05,0.2,15.0,0.03716814,0.00501,-0.0071,0.01784,False
0.3,0.05,0.2,30.0,0.03716814,0.00438,-0.00635,0.01669,False
0.3,0.05,0.2,60.0,0.03716814,0.00839,-0.00089,0.01744,False
0.3,0.15,0.05,15.0,0.1353211,0.04055,0.02736,0.05262,True
0.3,0.15,0.05,30.0,0.1353211,0.04119,0.02924,0.05248,True
0.3,0.15,0.05,60.0,0.1353211,0.04152,0.03117,0.05086,True
0.3,0.15,0.125,15.0,0.1353211,0.01077,0.0007,0.02087,True
0.3,0.15,0.125,30.0,0.1353211,0.01401,0.00408,0.02385,True
0.3,0.15,0.125,60.0,0.1353211,0.01855,0.00963,0.02689,True
0.3,0.15,0.2,15.0,0.1353211,0.00392,-0.00549,0.01349,False
0.3,0.15,0.2,30.0,0.1353211,0.00582,-0.00315,0.01478,False
0.3,0.15,0.2,60.0,0.1353211,0.01217,0.00434,0.01997,True
0.3,0.25,0.05,15.0,0.18693009,0.05136,0.02785,0.07169,True
0.3,0.25,0.05,30.0,0.18693009,0.04817,0.02599,0.06687,True
0.3,0.25,0.05,60.0,0.1353211,0.05848,0.0365,0.07878,True
0.3,0.25,0.125,15.0,0.18693009,0.01899,-0.00258,0.0377,False
0.3,0.25,0.125,30.0,0.18693009,0.01709,-0.00283,0.03425,False
0.3,0.25,0.125,60.0,0.1353211,0.03476,0.01443,0.05343,True
0.3,0.25,0.2,15.0,0.18693009,0.0089,-0.01002,0.02683,False
0.3,0.25,0.2,30.0,0.18693009,0.00787,-0.01007,0.02432,False
0.3,0.25,0.2,60.0,0.1353211,0.02519,0.00571,0.04236,True
0.4,0.05,0.05,15.0,0.03716814,0.05017,0.03359,0.06808,True
0.4,0.05,0.05,30.0,0.03716814,0.04805,0.03257,0.06442,True
0.4,0.05,0.05,60.0,0.03716814,0.04326,0.02908,0.05818,True
0.4,0.05,0.125,15.0,0.03716814,0.0202,0.00589,0.03559,True
0.4,0.05,0.125,30.0,0.03716814,0.01903,0.00563,0.03353,True
0.4,0.05,0.125,60.0,0.03716814,0.01567,0.00348,0.02896,True
0.4,0.05,0.2,15.0,0.03716814,0.01055,-0.00323,0.02537,False
0.4,0.05,0.2,30.0,0.03716814,0.00746,-0.00591,0.02199,False
0.4,0.05,0.2,60.0,0.03716814,0.00717,-0.00404,0.01903,False
0.4,0.15,0.05,15.0,0.1353211,0.06725,0.04746,0.0862,True
0.4,0.15,0.05,30.0,0.1353211,0.06918,0.05227,0.08455,True
0.4,0.15,0.05,60.0,0.1353211,0.07096,0.05654,0.08318,True
0.4,0.15,0.125,15.0,0.1353211,0.03602,0.02277,0.0498,True
0.4,0.15,0.125,30.0,0.1353211,0.03413,0.02124,0.04666,True
0.4,0.15,0.125,60.0,0.1353211,0.03623,0.02509,0.04675,True
0.4,0.15,0.2,15.0,0.1353211,0.01651,0.00477,0.02778,True
0.4,0.15,0.2,30.0,0.1353211,0.0158,0.00549,0.02583,True
0.4,0.15,0.2,60.0,0.1353211,0.01807,0.00903,0.02684,True
0.4,0.25,0.05,15.0,0.18693009,0.08874,0.06654,0.10838,True
0.4,0.25,0.05,30.0,0.18693009,0.08509,0.0645,0.1037,True
0.4,0.25,0.05,60.0,0.1353211,0.09262,0.07089,0.1128,True
